date,start_date,end_date,brand,interview_mode,sample_size,primary_vote_lnp,primary_vote_alp,primary_vote_grn,primary_vote_onp,primary_vote_uap,primary_vote_oth,primary_vote_und,twopp_vote_alp,twopp_vote_lnp
25–29 Aug 2021,2021-08-25,2021-08-29,Essential,Online,1100,0.38,0.36,0.1,0.04,,0.06,0.07,0.45,0.48
"21–22, 28–29 Aug 2021",2021-08-21,2021-08-29,Roy Morgan,Telephone/online,2735,0.375,0.385,0.115,0.03,,0.095,0,0.455,0.545
25–28 Aug 2021,2021-08-25,2021-08-28,Newspoll-YouGov,Online,1528,0.36,0.4,0.1,0.03,,0.11,0,0.46,0.54
17–21 Aug 2021,2021-08-17,2021-08-21,Resolve Strategic,Online,1607,0.4,0.32,0.12,0.02,,0.14,0,0,0
16-Aug-21,2021-08-16,2021-08-16,Essential,Online,0,0.37,0.36,0.09,0.03,,0.06,0.08,0.45,0.47
"7–8, 14–15 Aug 2021",2021-08-07,2021-08-15,Roy Morgan,Telephone/online,2747,0.375,0.375,0.125,0.035,,0.09,0,0.46,0.54
4–7 Aug 2021,2021-08-04,2021-08-07,Newspoll-YouGov,Online,1527,0.39,0.39,0.11,0.03,,0.08,0,0.47,0.53
02-Aug-21,2021-08-02,2021-08-02,Essential,Online,0,0.38,0.35,0.09,0.04,,0.06,0.08,0.45,0.47
"24–25, 31 Jul–1 Aug 2021",2021-07-24,2021-08-01,Roy Morgan,Telephone/online,2709,0.37,0.37,0.125,0.03,,0.105,0,0.465,0.535
19-Jul-21,2021-07-19,2021-07-19,Essential,Online,0,0.37,0.36,0.1,0.04,,0.06,0.08,0.45,0.47
"10–11, 17–18 Jul 2021",2021-07-10,2021-07-18,Roy Morgan,Telephone/online,2737,0.39,0.37,0.115,0.03,,0.095,0,0.475,0.525
13–17 Jul 2021,2021-07-13,2021-07-17,Resolve Strategic,Online,1607,0.38,0.35,0.12,0.04,,0.12,0,0,0
